Flight Line FlownMis FlownHel Production Mission Occurrence
20230325.01 383020 0.066 0.463 00:00:29 383020 1
20230325.01 383019 0.141 0.335 00:00:17 383019 1
20230321.01 308901 1.183 1.166 00:01:10 L308900.0 1
20230321.02 308902 7.101 7.108 00:05:30 L308900.1 1
20230323.02 308903 5.482 5.548 00:04:02 L308900.1 2
20230414.02 308905 5.24 5.23 00:04:13 L308900.2 1
20230414.02 308906 0.355 0.353 00:00:21 L308900.2 2
20230325.01 308904 3.282 3.335 00:02:58 L308900.3 1
20230321.01 309001 1.308 1.373 00:01:10 L309000.0 1
20230321.02 309002 7.435 7.438 00:05:33 L309000.1 1
20230323.02 309003 5.422 5.417 00:03:37 L309000.1 2
20230414.02 309006 5.841 5.948 00:04:11 L309000.2 1
20230325.01 309004 1.041 1.027 00:00:49 L309000.3 1
20230325.01 309005 2.707 2.689 00:01:43 L309000.4 1
20230325.01 383016 0.077 0.281 00:00:18 383016 1
20230325.01 383018 0.084 0.345 00:00:19 383018 1
20230321.01 309101 1.276 1.278 00:01:08 L309100.0 1
20230323.02 309103 5.328 5.341 00:03:50 L309100.1 1
20230321.02 309102 7.453 7.468 00:05:39 L309100.1 2
20230414.02 309106 5.816 5.926 00:04:46 L309100.2 1
20230325.01 309104 1.084 1.086 00:00:54 L309100.3 1
20230325.01 309105 2.593 2.613 00:02:12 L309100.4 1
20230321.01 309201 1.21 1.191 00:00:55 L309200.0 1
20230323.02 309203 5.239 5.343 00:04:09 L309200.1 1
20230321.02 309202 7.492 7.503 00:05:08 L309200.1 2
20230414.02 309206 5.708 5.717 00:03:55 L309200.2 1
20230325.01 309204 1.072 1.053 00:00:52 L309200.3 1
20230325.01 309205 3.313 3.333 00:02:20 L309200.4 1
20230321.01 309301 1.181 1.144 00:01:00 L309300.0 1
20230321.02 309302 6.997 7.057 00:04:58 L309300.1 1
20230321.01 920018 0.152 0.717 00:00:44 * 18
20230323.02 309303 4.791 4.817 00:03:31 L309300.1 2
20230414.02 309306 6.178 6.169 00:04:54 L309300.2 1
20230325.01 309304 1.123 1.124 00:00:58 L309300.3 1
20230325.01 383017 0.064 0.301 00:00:19 383017 1
