      Flight    Line  FlownMis  FlownHel  Production        Mission
 20230309.02  118502     1.472     1.472    00:01:10      L118500.1
 20230309.02  118402     1.637     1.647    00:01:36      L118400.1
 20230309.02  118302     1.518     1.514    00:01:14      L118300.1
 20230309.02  118202     1.530     1.517    00:01:32      L118200.1
 20230309.02  118102     1.167     1.163    00:01:02      L118100.1
 20230309.02  118002     1.160     1.158    00:01:12      L118000.1
 20230309.02  117902     1.415     1.403    00:01:08      L117900.1
 20230309.02  117802     1.478     1.471    00:01:26      L117800.1
 20230309.02  117702     1.588     1.574    00:01:14      L117700.1
 20230309.02  117602     1.715     1.735    00:01:34      L117600.1
 20230309.02  117502     0.714     0.721    00:00:38      L117500.1
 20230309.02  117404     0.875     0.887    00:00:46      L117400.2
 20230309.02  117503     0.435     0.440    00:00:28      L117500.1
 20230309.02  117304     0.584     0.569    00:00:28      L117300.2
 20230309.02  117205     1.051     1.075    00:01:06      L117200.1
 20230309.02  117104     0.978     0.967    00:00:49      L117100.1
 20230309.02  117004     0.618     0.623    00:00:39      L117000.1
 20230309.02  116903     0.554     0.540    00:00:26      L116900.1
 20230309.02  116804     0.575     0.555    00:00:34      L116800.1
 20230309.02  116704     0.422     0.436    00:00:24      L116600.1
 20230309.02  116104     1.265     1.263    00:01:15      L116100.3
 20230309.02  116203     0.670     0.665    00:00:34      L116200.2
 20230309.02  116304     0.848     0.839    00:00:51      L116300.2
 20230309.02  116405     0.812     0.806    00:00:40      L116400.2
 20230309.02  116503     0.551     0.549    00:00:38      L116500.2
 20230309.02  116606     0.518     0.505    00:00:27      L116600.1
 20230309.02  116003     1.109     1.105    00:00:55      L116000.3
 20230309.02  115904     1.138     1.157    00:01:07      L115900.3
 20230309.02  115804     0.671     0.647    00:00:34      L115800.2
 20230309.02  115703     0.677     0.682    00:00:40      L115700.3
 20230309.02  115602     1.058     1.051    00:00:49      L115600.2
 20230309.02  115502     0.616     0.589    00:00:35      L115500.2
 20230309.02  115403     0.723     0.720    00:00:40      L115400.2
 20230309.02  115302     0.780     0.787    00:00:40      L115300.2
 20230309.02  115202     1.012     1.030    00:00:58      L115200.2
 20230309.02  115102     1.076     1.055    00:00:47      L115100.2
 20230309.02  115002     0.468     0.476    00:00:28      L115000.1
 20230309.02  114902     1.231     1.235    00:00:56      L114900.1
 20230309.02  920004     0.000     0.905    00:00:47              *
 20230309.02  180026     0.527     0.547    00:00:30      L110300.0
 20230309.02  180027     0.042     0.255    00:00:15      L110500.0
 20230309.02  180028     1.233     1.382    00:01:18      L107400.1
 20230309.02  180029     1.435     1.422    00:01:29      L107400.1
 20230309.02  180030     0.000     0.651    00:00:38              *
